,incident_date,incident_parent,location,neighborhood,council_district,police_district
0,2020-09-01 13:00:00,Sexual Offense,-78.82 42.897,Genesee-Moselle,FILLMORE,District C
1,2020-09-01 13:31:00,Theft,-78.803 42.895,Lovejoy,LOVEJOY,District C
2,2020-09-01 14:00:00,Sexual Offense,-78.806 42.916,Hamlin Park,MASTEN,District E
3,2020-09-01 14:11:00,Sexual Offense,-78.82 42.913,Genesee-Moselle,FILLMORE,District C
4,2020-09-01 14:25:00,Sexual Offense,-78.873 42.941,Central,ELLICOTT,District B
5,2020-09-01 16:00:00,Sexual Offense,-78.8706668 42.8983865,Fruit Belt,ELLICOTT,District B
6,2020-09-01 16:01:00,Assault,-78.82 42.91,Genesee-Moselle,FILLMORE,District C
7,2020-09-01 16:04:00,Theft,-78.803 42.93,Kenfield,UNIVERSITY,District E
8,2020-09-01 18:00:00,Sexual Offense,-78.825 42.951,University Heights,UNIVERSITY,District E
9,2020-09-01 19:00:00,Sexual Offense,-78.884 42.948,West Hertel,NORTH,District D
10,2020-09-01 19:26:00,Sexual Offense,-78.816 42.94,Kensington-Bailey,MASTEN,District E
11,2020-09-01 19:58:00,Assault,-78.84 42.912,MLK Park,ELLICOTT,District C
12,2020-09-01 20:00:00,Theft,-78.879 42.897,Allentown,FILLMORE,District B
13,2020-09-01 20:00:00,Robbery,-78.821 42.91,Genesee-Moselle,FILLMORE,District C
14,2020-09-01 22:00:00,Breaking & Entering,-78.826 42.945,University Heights,UNIVERSITY,District E
15,2020-09-01 22:00:00,Assault,-78.881 42.926,Elmwood Bidwell,DELAWARE,District D
16,2020-09-01 22:30:00,Sexual Offense,-78.824 42.936,Fillmore-Leroy,MASTEN,District E
17,2020-09-01 22:30:00,Sexual Offense,-78.876 42.904,Elmwood Bryant,ELLICOTT,District B
18,2020-09-01 23:00:00,Breaking & Entering,-78.876 42.913,Elmwood Bryant,NIAGARA,District B
19,2020-09-01 23:00:00,Sexual Offense,-78.906 42.956,Riverside,NORTH,District D
20,2020-09-01 23:42:00,Assault,-78.849 42.906,Masten Park,ELLICOTT,District C
21,2020-09-01 23:55:00,Assault,-78.822 42.899,Genesee-Moselle,FILLMORE,District C
22,2020-09-02 00:00:00,Sexual Offense,-78.884 42.948,Central Park,UNIVERSITY,District D
23,2020-09-02 00:00:00,Theft,-78.818 42.928,Kenfield,MASTEN,District E
24,2020-09-02 00:00:00,Sexual Offense,-78.827 42.923,Delavan Grider,MASTEN,District E
25,2020-09-02 00:00:00,Sexual Offense,-78.801 42.909,Schiller Park,LOVEJOY,District C
26,2020-09-02 00:00:00,Sexual Offense,-78.809 42.856,Seneca-Cazenovia,SOUTH,District A
27,2020-09-02 01:00:00,Sexual Offense,-78.819 42.949,University Heights,UNIVERSITY,District E
28,2020-09-02 04:30:00,Breaking & Entering,-78.803 42.919,Schiller Park,LOVEJOY,District E
29,2020-09-02 05:18:00,Sexual Offense,-78.821 42.914,Genesee-Moselle,FILLMORE,District C
30,2020-09-02 06:00:00,Theft,-78.818 42.938,Kensington-Bailey,MASTEN,District E
31,2020-09-02 07:55:00,Sexual Offense,-78.81 42.855,Seneca-Cazenovia,SOUTH,District A
32,2020-09-02 09:54:00,Assault,-78.902 42.949,Riverside,NORTH,District D
33,2020-09-02 10:11:00,Sexual Offense,-78.877 42.919,Elmwood Bidwell,DELAWARE,District D
34,2020-09-02 11:03:00,Sexual Offense,-78.904 42.953,Riverside,NORTH,District D
35,2020-09-02 12:00:00,Breaking & Entering,-78.864 42.874,Ellicott,FILLMORE,District A
36,2020-09-02 13:16:00,Robbery,-78.844 42.934,Fillmore-Leroy,MASTEN,District E
37,2020-09-02 13:49:00,Breaking & Entering,-78.813 42.919,Schiller Park,LOVEJOY,District E
38,2020-09-02 14:23:00,Robbery,-78.82 42.873,Seneca Babcock,FILLMORE,District A
39,2020-09-02 15:41:00,Sexual Offense,-78.831 42.951,University Heights,UNIVERSITY,District E
40,2020-09-02 16:00:00,Assault,-78.852 42.947,North Park,DELAWARE,District D
41,2020-09-02 16:00:00,Theft,-78.848 42.947,North Park,DELAWARE,District D
42,2020-09-02 16:47:00,Sexual Offense,-78.857 42.902,Fruit Belt,ELLICOTT,District B
43,2020-09-02 17:00:00,Sexual Offense,-78.809 42.856,Seneca-Cazenovia,SOUTH,District A
44,2020-09-02 18:54:00,Sexual Offense,-78.877 42.932,Elmwood Bidwell,DELAWARE,District D
45,2020-09-02 19:35:00,Sexual Offense,-78.829 42.918,Delavan Grider,MASTEN,District E
46,2020-09-03 00:00:00,Sexual Offense,-78.803 42.914,Schiller Park,LOVEJOY,District C
47,2020-09-03 00:00:00,Assault,-78.904 42.956,Riverside,NORTH,District D
48,2020-09-03 00:00:00,Sexual Offense,-78.8140297 42.9281992,Kenfield,UNIVERSITY,District E
49,2020-09-03 00:30:00,Assault,-78.885 42.904,West Side,NIAGARA,District B
50,2020-09-03 02:21:00,Robbery,-78.891 42.918,Upper West Side,NIAGARA,District D
51,2020-09-03 02:40:00,Assault,-78.816 42.912,Genesee-Moselle,FILLMORE,District C
52,2020-09-03 05:00:00,Theft,-78.829 42.947,University Heights,UNIVERSITY,District E
53,2020-09-03 05:15:00,Sexual Offense,-78.893 42.907,West Side,NIAGARA,District B
54,2020-09-03 05:50:00,Theft,-78.883 42.893,Lower West Side,FILLMORE,District B
55,2020-09-03 06:35:00,Assault,-78.845 42.898,Broadway Fillmore,FILLMORE,District C
56,2020-09-03 07:15:00,Breaking & Entering,-78.857 42.891,Pratt-Willert,ELLICOTT,District B
57,2020-09-03 07:34:00,Sexual Offense,-78.816 42.94,Kensington-Bailey,MASTEN,District E
58,2020-09-03 08:10:00,Sexual Offense,-78.828 42.949,University Heights,UNIVERSITY,District E
59,2020-09-03 09:00:00,Sexual Offense,-78.894 42.91,West Side,NIAGARA,District B
60,2020-09-03 09:35:00,Sexual Offense,-78.878 42.951,West Hertel,NORTH,District D
61,2020-09-03 11:24:00,Sexual Offense,-78.854 42.91,Masten Park,ELLICOTT,District C
62,2020-09-03 11:29:00,Assault,-78.885 42.899,Lower West Side,ELLICOTT,District B
63,2020-09-03 11:58:00,Sexual Offense,-78.837 42.893,Broadway Fillmore,FILLMORE,District C
64,2020-09-03 12:11:00,Sexual Assault,-78.907 42.948,Riverside,NORTH,District D
65,2020-09-03 12:40:00,Robbery,-78.888 42.906,West Side,NIAGARA,District B
66,2020-09-03 12:48:00,Assault,-78.884 42.948,Upper West Side,NIAGARA,District D
67,2020-09-03 13:41:00,Assault,-78.809 42.921,Schiller Park,LOVEJOY,District E
68,2020-09-03 14:30:00,Theft,-78.807 42.941,Kensington-Bailey,UNIVERSITY,District E
69,2020-09-03 15:00:00,Breaking & Entering,-78.888 42.942,Grant-Amherst,NORTH,District D
70,2020-09-03 15:00:00,Assault,-78.82 42.897,Genesee-Moselle,FILLMORE,District C
71,2020-09-03 15:16:00,Assault,-78.894 42.946,West Hertel,NORTH,District D
72,2020-09-03 15:22:00,Robbery,-78.815 42.91,Genesee-Moselle,FILLMORE,District C
73,2020-09-03 16:00:00,Assault,-78.854 42.887,Pratt-Willert,ELLICOTT,District B
74,2020-09-03 17:00:00,Sexual Offense,-78.814 42.888,Lovejoy,LOVEJOY,District C
75,2020-09-03 17:30:00,Assault,-78.82 42.899,Genesee-Moselle,FILLMORE,District C
76,2020-09-03 17:30:00,Sexual Offense,-78.881 42.892,Lower West Side,FILLMORE,District B
77,2020-09-03 18:00:00,Breaking & Entering,-78.9 42.932,Black Rock,NORTH,District D
78,2020-09-03 20:00:00,Sexual Offense,-78.875 42.896,Allentown,FILLMORE,District B
79,2020-09-03 20:30:00,Sexual Offense,-78.873 42.9,Allentown,FILLMORE,District B
80,2020-09-03 21:48:00,Sexual Offense,-78.854 42.911,Masten Park,ELLICOTT,District C
81,2020-09-03 21:53:00,Robbery,-78.878 42.899,Elmwood Bryant,FILLMORE,District B
82,2020-09-03 22:22:00,Assault,-78.894 42.905,West Side,NIAGARA,District B
83,2020-09-03 22:50:00,Sexual Offense,-78.883 42.948,West Hertel,NORTH,District D
84,2020-09-03 22:56:00,Breaking & Entering,-78.85 42.916,Hamlin Park,MASTEN,District E
85,2020-09-03 23:00:00,Theft,-78.837 42.911,MLK Park,MASTEN,District C
86,2020-09-04 00:00:00,Sexual Offense,-78.816 42.94,Kensington-Bailey,MASTEN,District E
87,2020-09-04 00:24:00,Assault,-78.841 42.873,Seneca Babcock,FILLMORE,District A
88,2020-09-04 02:08:00,Breaking & Entering,-78.812 42.857,Seneca-Cazenovia,SOUTH,District A
89,2020-09-04 02:10:00,Sexual Offense,-78.873 42.9,Allentown,FILLMORE,District B
90,2020-09-04 02:32:00,Assault,-78.8151206 42.890126,Lovejoy,LOVEJOY,District C
91,2020-09-04 03:15:00,Robbery,-78.8773751 42.91611925,Elmwood Bidwell,DELAWARE,District D
92,2020-09-04 04:00:00,Theft,-78.852 42.915,Masten Park,MASTEN,District C
93,2020-09-04 04:20:00,Sexual Offense,-78.822 42.894,Lovejoy,FILLMORE,District C
94,2020-09-04 04:51:00,Assault,-78.859 42.92,Masten Park,MASTEN,District E
95,2020-09-04 06:00:00,Breaking & Entering,-78.809 42.939,Fruit Belt,ELLICOTT,District B
96,2020-09-04 06:00:00,Sexual Offense,-78.863 42.9,Fruit Belt,ELLICOTT,District B
97,2020-09-04 06:37:00,Breaking & Entering,-78.848 42.924,Hamlin Park,MASTEN,District E
98,2020-09-04 07:30:00,Sexual Offense,-78.841 42.94,Parkside,MASTEN,District D
99,2020-09-04 07:30:00,Sexual Offense,-78.888 42.919,Elmwood Bidwell,NIAGARA,District D
100,2020-09-04 08:30:00,Sexual Offense,-78.814 42.885,Lovejoy,LOVEJOY,District C
101,2020-09-04 09:00:00,Sexual Offense,-78.89 42.932,Ellicott,FILLMORE,District A
102,2020-09-04 13:00:00,Sexual Offense,-78.837 42.907,MLK Park,MASTEN,District C
103,2020-09-04 13:22:00,Sexual Offense,-78.806 42.853,Seneca-Cazenovia,SOUTH,District A
104,2020-09-04 13:36:00,Breaking & Entering,-78.8 42.898,Lovejoy,LOVEJOY,District C
105,2020-09-04 14:30:00,Theft,-78.88 42.896,Allentown,FILLMORE,District B
106,2020-09-04 14:53:00,Sexual Offense,-78.862 42.921,Elmwood Bidwell,ELLICOTT,District D
107,2020-09-04 15:00:00,Sexual Offense,-78.844 42.935,Parkside,DELAWARE,District D
108,2020-09-04 16:00:00,Robbery,-78.81772 42.914658,Genesee-Moselle,FILLMORE,District C
109,2020-09-04 16:00:00,Sexual Offense,-78.801 42.941,Kensington-Bailey,UNIVERSITY,
110,2020-09-04 16:34:00,Assault,-78.814 42.917,Schiller Park,FILLMORE,District E
111,2020-09-04 16:50:00,Assault,-78.9 42.915,Upper West Side,NIAGARA,District D
112,2020-09-04 18:00:00,Sexual Offense,-78.871 42.876,Central,FILLMORE,District B
113,2020-09-04 18:00:00,Theft,-78.804 42.852,Seneca-Cazenovia,SOUTH,District A
114,2020-09-04 18:00:00,Theft,-78.897 42.926,Upper West Side,NORTH,District D
115,2020-09-04 18:30:00,Robbery,-78.883 42.948,West Hertel,NORTH,District D
116,2020-09-04 19:00:00,Breaking & Entering,-78.807 42.932,Kenfield,UNIVERSITY,District E
117,2020-09-04 19:00:00,Sexual Offense,-78.868 42.889,Central,ELLICOTT,District B
118,2020-09-04 19:39:00,Assault,-78.823 42.915,Genesee-Moselle,MASTEN,District E
119,2020-09-04 20:30:00,Sexual Offense,-78.857 42.909,Masten Park,ELLICOTT,District B
120,2020-09-04 21:20:00,Assault,-78.893 42.923,Upper West Side,NIAGARA,District D
121,2020-09-04 21:30:00,Sexual Offense,-78.873 42.918,Elmwood Bidwell,DELAWARE,District D
122,2020-09-04 22:00:00,Sexual Assault,-78.871 42.893,University Heights,UNIVERSITY,District E
123,2020-09-04 22:00:00,Theft,-78.885 42.92,Elmwood Bidwell,NIAGARA,District D
124,2020-09-04 22:11:00,Sexual Offense,-78.838 42.896,Broadway Fillmore,FILLMORE,District C
125,2020-09-04 22:17:00,Robbery,-78.904 42.958,Riverside,NORTH,District D
126,2020-09-04 23:00:00,Theft,-78.882 42.895,Lower West Side,FILLMORE,District B
127,2020-09-04 23:56:00,Assault,-78.9 42.935,Black Rock,NORTH,District D
128,2020-09-05 00:00:00,Sexual Offense,-78.848 42.891,Broadway Fillmore,ELLICOTT,District C
129,2020-09-05 00:00:00,Sexual Offense,-78.891 42.942,Grant-Amherst,NORTH,District D
130,2020-09-05 00:00:00,Sexual Offense,-78.822 42.94,University Heights,UNIVERSITY,District E
